,0,,1,
0,Unnamed: 0,,Participant,
1,Part,,Session,
2,TrialN,,Choice,
3,PairID,,RT,
4,LItem,,ChosenValue,ChosenV
5,LValue,Lval,UnchosenValue,UnchosenV
6,RItem,,DiffValue,Dval
7,RValue,Rval,AbsDiffValue,AbsDVal
8,ChosenITM,Choice,TotalValue,TotVal
9,ChoiceRT,RT,ChosenFam,
10,Conf,,UnchosenFam,
11,ConfRT,,DiffFam,Dfam
12,BlockCond,,AbsDiffFam,zAbsDFam
13,tDDT,DDT,TotalFam,TotFam
14,lIA_DT,LDwellTime,Confidence,Conf
15,rIA_DT,RDwellTime,zRT,
16,tGSF,GSF,zChosenValue,zChosenV
17,lastFixat,LastFixat,zUnchosenValue,zUnchosenV
18,DV,DVal,zDiffValue,zDVal
19,zDV,zDVal,zAbsDiffValue,zAbsDVal
20,absDV,AbsDVal,zTotalValue,zTotVal
21,zAbsDV,zAbsDVal,zChosenFam,
22,zConf,,zUnchosenFam,
23,zChoiceRT,zRT,zDiffFam,zDFam
24,DFam,,zAbsDiffFam,zAbsDFam
25,LFam,,zTotalFam,zTotFam
26,RFam,,zConfidence,zConf
27,TotFam,,,
28,TotVal,,,
29,FamCh,ChosenFam,,
30,FamUnCh,UnchosenFam,,
31,ValCh,ChosenVal,,
32,ValUnCh,UnchosenVal,,
33,Correct,,,
34,LValConfBDM,,,
35,LFamConfBDM,,,
36,RValConfBDM,,,
37,RFamConfBDM,,,
38,zDFam,,,
39,zTotFam,,,
40,zTotVal,,,
41,zValCh,zChosenVal,,
42,zValUnCh,zUnchosenVal,,
43,zFamCh,zChosenFam,,
44,zFamUnCh,zUnchosenFam,,
45,zGSF,,,
46,zDDT,,,
47,absDDT,,,
48,zAbsDFam,,,
49,zLValue,zLVal,,
50,zRValue,zRVal,,
51,zLFam,,,
52,zRFam,,,
53,zLValConfBDM,,,
54,zLFamConfBDM,,,
55,zRValConfBDM,,,
56,zRFamConfBDM,,,
57,ConfSplit,,,
58,GSFMedSplit,GSFSplit,,
59,DDTMedSplit,DDTSplit,,